name,citation,directory_id,act_id,repealed,url
Access to Abortion Services Act,"RSBC 1996, c 1",96001,96001_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96001_01
Access to Education Act,"SBC 2001, c 1",01001rep,01001rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01001rep_01
Access to Services (COVID-19) Act,"SBC 2021, c 33",1329629559,21033,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21033
Accessible British Columbia Act,"SBC 2021, c 19",943847647,21019,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/21019
Accountants (Certified General) Act,"RSBC 1996, c 2",96002,96002_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96002_01
Accountants (Chartered) Act,"RSBC 1996, c 3",96003,96003_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96003_01
Accountants (Management) Act,"RSBC 1996, c 4",96004,96004_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96004_01
Administrative Tribunals Act,"SBC 2004, c 45",04045,04045_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04045_01
Administrative Tribunals Appointment and Administration Act,"SBC 2003, c 47",03047,03047_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03047_01
Adoption Act,"RSBC 1996, c 5",96005,96005_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96005_01
Adult Guardianship Act,"RSBC 1996, c 6",96006,96006_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96006_01
Advanced Education Statute Repeal Act,"SBC 2018, c 43",709946006,18043,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18043
Age of Majority Act,"RSBC 1996, c 7",96007,96007_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96007_01
Agricultural and Rural Development (BC) Act,"RSBC 1996, c 8",96008rep,96008rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96008rep_01
Agricultural Credit Act,"RSBC 1996, c 9",96009rep,96009rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96009rep_01
Agricultural Land Commission Act,"RSBC 1996, c 10",96010tc,96010tc_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96010tc_01
Agricultural Land Commission Act,"SBC 2002, c 36",02036,02036_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02036_01
Agricultural Land Reserve Act,"RSBC 1996, c 10",96010rep,96010rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96010rep_01
Agricultural Produce Grading Act,"RSBC 1996, c 11",96011,96011_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96011_01
Agri-Food Choice and Quality Act,"SBC 2000, c 20",00020,00020_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/00020_01
Agrologists Act,"RSBC 1996, c 12",96012rep,96012rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96012rep_01
Agrologists Act,"SBC 2003, c 13",03013,03013_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03013_01
Anatomy Act,"RSBC 1996, c 13",96013,96013_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96013_01
Animal Disease Control Act,"RSBC 1996, c 14",96014,96014_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96014_01
Animal Health Act,"SBC 2014, c 16",14016_f,14016,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/14016
Anti-Racism Data Act,"SBC 2022, c 18",1345238524,22018,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/22018
Apology Act,"SBC 2006, c 19",06019,06019_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/06019_01
Applied Science Technologists and Technicians Act,"RSBC 1996, c 15",96015,96015_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96015_01
Apprenticeship Act,"RSBC 1996, c 16",96016rep,96016rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96016rep_01
Arbitration Act,"RSBC 1996, c 55",96055,96055_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96055_01
Arbitration Act,"SBC 2020, c 2",1969121471,20002,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/20002
Architects Act,"RSBC 1996, c 17",96017,96017_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96017_01
Architects (Landscape) Act,"RSBC 1996, c 18",96018,96018_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96018_01
Armoured Vehicle and After-Market Compartment Control Act,"SBC 2010, c 8",10008,10008_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/10008_01
Arts Council Act,"RSBC 1996, c 19",96019,96019_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96019_01
Assessment Act,"RSBC 1996, c 20",96020,96020_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96020_01
Assessment Authority Act,"RSBC 1996, c 21",96021,96021_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96021_01
Assistance to Shelter Act,"SBC 2009, c 32",09032,09032_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09032_01
Athletic Commissioner Act,"SBC 2012, c 29",156093718,12029_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12029_01
Attorney General Act,"RSBC 1996, c 22",96022,96022_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96022_01
Auditor General Act,"RSBC 1996, c 23",96023rep,96023rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96023rep_01
Auditor General Act,"SBC 2003, c 2",03002,03002_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03002_01
Auditor General for Local Government Act,"SBC 2012, c 5",1123993658,12005_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12005_01
Balanced Budget Act,"SBC 2000, c 21",00021rep,00021rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/00021rep_01
Balanced Budget and Ministerial Accountability Act,"SBC 2001, c 28",01028,01028_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01028_01
Barbers Act,"RSBC 1996, c 24",96024rep,96024rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96024rep_01
BC-Alcan Northern Development Fund Act,"SBC 1998, c 3",98003,98003_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98003_01
